name,description,website,email,phone,channel,channel_title,channel_members,message_date,source,linkedin_url,industry,location
Tech.org,You can view and join @tech right away.,,,,@tech,Tech.org,2,,telegram_web,,,
,vm,,,,@tech,,1,,telegram_web,,,
